Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress	Priority	Estimate	Size
Design Patterns	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/4	plittle1767	Done			P0		
Software Requirement Specification (SRS)	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/1	hiyafinch	Done			P0		
Software Prototype	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/14	carbineaction, Ethan-Hess, hiyafinch, plittle1767	Done			P0		
Class Diagram (High Cohesion and Loose Coupling)	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/3	plittle1767	Done			P0		
Architecture Diagram	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/5	Ethan-Hess	Done			P0		
Use Case Diagram	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/6	carbineaction	Done			P0		
Write README.md	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/15	carbineaction	Done			P0		
Testing Plan	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/8	plittle1767	Done			P1		
Bug Report	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/10	Ethan-Hess	Done			P2		
Demo video	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/2	plittle1767	Done			P2		
Test Cases	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/9	carbineaction, Ethan-Hess, hiyafinch, plittle1767	Done			P2		
QA	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/12	plittle1767	Done			P2		
Address Customer Feedback	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/13	plittle1767	Done			P2		
Write CLI tests	https://github.com/Ethan-Hess/The-Backlog-Blackhole/issues/18		Done					
